formatted_date,total_transaction_fee,block_count
2015-10-01,1.4650630731901874E19,2158
2015-10-05,2.637662450505165E19,2018
2015-10-06,2.4184952764468842E19,2027
2015-10-07,3.778585599630303E19,2338
2015-10-09,2.9027200723045847E19,2144
2015-10-11,1.6190521767930149E19,2110
2015-10-14,3.749759812719111E19,2382
2015-10-15,4.601426445537218E19,2327
2015-10-17,2.4238090548268253E19,2327
2015-10-19,2.6476155156035772E19,2359
2015-10-21,2.7240169337072337E19,2242
2015-10-24,3.274536314409985E19,2491
2015-10-27,3.6468698250832302E19,2440
2015-10-28,3.3146321817579495E19,2725
2015-10-29,2.6901625871512818E19,2724
2015-10-30,5.041994115072108E19,2729
2015-10-18,2.8761768203833553E19,2370
2015-10-20,3.4023827716890894E19,2174
2015-10-22,6.328750860532436E19,2280
2015-10-23,4.740803609964211E19,2507
2015-10-25,2.1520206145454756E19,2190
2015-10-26,2.8680619632852607E19,2238
2015-10-31,2.701315614911751E19,2636
2015-10-02,2.464981746013086E19,2073
2015-10-03,2.6252898655585907E19,2116
2015-10-04,2.4386327501935858E19,2179
2015-10-08,5.705912795259011E19,2374
2015-10-10,2.2012587405911007E19,2159
2015-10-12,2.1684108614211854E19,2352
2015-10-13,5.992645513202179E19,2446
2015-10-16,4.322997639509519E19,2483
