formatted_date,block_count,unique_senders_count_number
2015-09-02,5195,875
2015-09-03,4777,778
2015-09-04,5642,761
2015-09-06,5521,965
2015-09-07,5702,969
2015-09-08,5622,1003
2015-09-09,5604,980
2015-09-10,5341,989
2015-09-12,5596,942
2015-09-13,6057,954
2015-09-17,5368,982
2015-09-19,5205,840
2015-09-24,6224,1004
2015-09-25,5851,974
2015-09-28,6123,1003
2015-09-01,5153,916
2015-09-05,5519,830
2015-09-11,6460,1088
2015-09-14,5572,1013
2015-09-15,5409,906
2015-09-16,5872,920
2015-09-18,5802,891
2015-09-20,6402,904
2015-09-21,6305,988
2015-09-22,6804,1001
2015-09-23,7404,969
2015-09-26,5907,890
2015-09-27,5760,907
2015-09-29,5738,962
2015-09-30,5870,924
